month,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max
2022-01,2.4631451612903223,-5.5723924731182795,14805.2,25.049569892473116
2022-02,6.502023809523809,-2.9752380952380952,11465.3,26.714255952380952
2022-03,10.694596774193549,1.3298655913978497,12049.7,26.59569892473118
2022-04,14.461416666666667,5.4471944444444444,16250.9,27.070083333333333
2022-05,20.838951612903223,12.065430107526883,14115.6,21.692016129032258
2022-06,25.79125,16.67877777777778,9750.6,23.745805555555553
2022-07,30.59220430107527,21.30551075268817,9343.9,23.984086021505377
2022-08,29.880994623655916,21.192822580645164,7219.7,21.651182795698922
2022-09,24.458444444444442,16.265027777777778,11607.699999999999,20.02922222222222
2022-10,17.111720430107525,9.548467741935484,31856.1,21.10790322580645
2022-11,13.144194444444445,5.8467777777777785,10643.3,24.522305555555555
2022-12,6.336854838709677,-1.2014247311827957,13127.6,23.449112903225807
2023-01,8.584543010752688,1.2637096774193548,13914.6,22.78854838709677
2023-02,7.991279761904762,-0.9242261904761905,5739.8,26.014999999999997
2023-03,9.76021505376344,1.003790322580645,15672.5,26.501344086021504
2023-04,17.058194444444446,7.834944444444444,16870.0,24.09786111111111
2023-05,20.35475806451613,10.307473118279571,4443.3,21.730537634408602
2023-06,24.637722222222223,15.43297222222222,10186.3,21.592916666666667
2023-07,28.824435483870968,20.41774193548387,18463.8,20.13991935483871
2023-08,27.12932795698925,18.92994623655914,16521.7,20.308951612903225
2023-09,24.397305555555555,16.22833333333333,29389.2,19.659444444444443
2023-10,19.16005376344086,10.623682795698924,14290.1,19.033467741935485
2023-11,11.155555555555555,2.2610277777777776,6415.7,21.673444444444442
2023-12,9.114032258064515,1.747338709677419,24879.5,19.7275
2024-01,5.065806451612903,-1.9588978494623657,20136.0,24.703279569892473
2024-02,6.655689655172414,-1.9014080459770113,7618.6,21.644741379310343
2024-03,11.581801075268817,2.5427688172043013,26264.1,25.975806451612904
2024-04,15.112083333333333,5.878305555555556,12566.800000000001,25.282055555555555
2024-05,21.404086021505375,12.481586021505377,11918.6,21.369865591397847
2024-06,27.631805555555555,18.00808333333333,9261.7,24.551666666666666
2024-07,29.54005376344086,20.97768817204301,12307.5,20.958440860215052
2024-08,27.7652688172043,19.066209677419355,19821.7,20.55502688172043
2024-09,24.36186111111111,15.325833333333334,3285.3,18.524833333333333
2024-10,20.500564516129035,9.712150537634407,986.8000000000001,19.743682795698923
2024-11,14.40186111111111,6.111916666666667,10670.9,20.415055555555554
2024-12,5.44741935483871,-0.9330645161290323,12743.0,17.23040322580645
2025-01,1.4018548387096774,-4.594650537634408,3518.7,20.205241935483873
2025-02,4.044494047619048,-2.7802380952380954,10417.8,19.144761904761904
2025-03,11.660645161290322,2.41505376344086,16139.0,20.705403225806453
2025-04,16.440916666666666,7.52975,10288.0,20.161333333333335
2025-05,20.163225806451614,12.620698924731183,23428.6,16.893172043010754
2025-06,27.383388888888888,18.873694444444446,8714.0,15.386472222222222
2025-07,30.654758064516127,22.491559139784947,14561.5,15.062822580645161
2025-08,27.67806451612903,18.916559139784948,3388.7,15.764489247311829
2025-09,24.740055555555553,17.046722222222222,11410.3,13.85061111111111
2025-10,18.2041935483871,10.356720430107528,14458.8,18.587795698924733
2025-11,11.232277777777776,4.167361111111111,6679.1,19.97577777777778
2025-12,3.6622849462365594,-3.2714516129032254,9927.4,19.988064516129032
