borough,year_month,complaint_count
QUEENS,2021-09,158
QUEENS,2021-10,175
QUEENS,2021-11,195
QUEENS,2021-12,194
QUEENS,2022-01,215
QUEENS,2022-02,181
QUEENS,2022-03,238
QUEENS,2022-04,244
QUEENS,2022-05,328
QUEENS,2022-06,257
QUEENS,2022-07,309
QUEENS,2022-08,276
QUEENS,2022-09,118
QUEENS,2022-10,144
QUEENS,2022-11,358
QUEENS,2022-12,293
QUEENS,2023-01,220
QUEENS,2023-02,308
QUEENS,2023-03,390
QUEENS,2023-04,429
QUEENS,2023-05,395
QUEENS,2023-06,364
QUEENS,2023-07,297
QUEENS,2023-08,120
QUEENS,2023-09,172
QUEENS,2023-10,137
QUEENS,2023-11,446
QUEENS,2023-12,266
QUEENS,2024-01,219
QUEENS,2024-02,175
QUEENS,2024-03,160
QUEENS,2024-04,180
QUEENS,2024-05,231
QUEENS,2024-06,223
QUEENS,2024-07,165
QUEENS,2024-08,137
QUEENS,2024-09,207
QUEENS,2024-10,171
QUEENS,2024-11,183
QUEENS,2024-12,228
STATEN ISLAND,2020-01,29
STATEN ISLAND,2020-02,26
STATEN ISLAND,2020-03,34
STATEN ISLAND,2020-04,14
STATEN ISLAND,2020-05,30
STATEN ISLAND,2020-06,31
STATEN ISLAND,2020-07,27
STATEN ISLAND,2020-08,15
STATEN ISLAND,2020-09,9
STATEN ISLAND,2020-10,30
STATEN ISLAND,2020-11,20
STATEN ISLAND,2020-12,20
STATEN ISLAND,2021-01,18
STATEN ISLAND,2021-02,18
STATEN ISLAND,2021-03,26
STATEN ISLAND,2021-04,21
STATEN ISLAND,2021-05,23
STATEN ISLAND,2021-06,26
STATEN ISLAND,2021-07,20
STATEN ISLAND,2021-08,20
STATEN ISLAND,2021-09,11
STATEN ISLAND,2021-10,34
STATEN ISLAND,2021-11,18
STATEN ISLAND,2021-12,11
STATEN ISLAND,2022-01,19
STATEN ISLAND,2022-02,25
STATEN ISLAND,2022-03,26
STATEN ISLAND,2022-04,27
STATEN ISLAND,2022-05,26
STATEN ISLAND,2022-06,29
STATEN ISLAND,2022-07,27
STATEN ISLAND,2022-08,19
STATEN ISLAND,2022-09,35
STATEN ISLAND,2022-10,16
STATEN ISLAND,2022-11,22
STATEN ISLAND,2022-12,29
STATEN ISLAND,2023-01,17
STATEN ISLAND,2023-02,19
STATEN ISLAND,2023-03,27
STATEN ISLAND,2023-04,22
STATEN ISLAND,2023-05,19
STATEN ISLAND,2023-06,21
STATEN ISLAND,2023-07,24
STATEN ISLAND,2023-08,28
STATEN ISLAND,2023-09,15
STATEN ISLAND,2023-10,23
STATEN ISLAND,2023-11,23
STATEN ISLAND,2023-12,30
STATEN ISLAND,2024-01,35
STATEN ISLAND,2024-02,36
STATEN ISLAND,2024-03,27
STATEN ISLAND,2024-04,14
STATEN ISLAND,2024-05,26
STATEN ISLAND,2024-06,22
STATEN ISLAND,2024-07,29
STATEN ISLAND,2024-08,17
STATEN ISLAND,2024-09,31
STATEN ISLAND,2024-10,23
STATEN ISLAND,2024-11,18
STATEN ISLAND,2024-12,28
