nta_code,year_month,temp_max_mean,temp_min_mean,precip_total,wind_max_mean
BK0101,2019-01,3.609677419354839,-4.380645161290323,108.60000000000001,24.970967741935485
BK0101,2019-02,5.510714285714286,-2.882142857142857,83.30000000000001,22.485714285714288
BK0101,2019-03,7.916129032258064,-1.1774193548387097,105.6,22.758064516129032
BK0101,2019-04,15.8,6.786666666666666,121.8,25.573333333333334
BK0101,2019-05,20.029032258064515,11.654838709677419,150.4,21.76451612903226
BK0101,2019-06,25.40666666666667,16.886666666666667,154.7,21.163333333333334
BK0101,2019-07,30.351612903225806,21.67096774193548,107.7,18.56451612903226
BK0101,2019-08,27.787096774193547,20.174193548387095,91.4,17.5
BK0101,2019-09,25.173333333333336,16.233333333333334,38.7,19.55666666666667
BK0101,2019-10,18.809677419354838,11.345161290322581,133.2,23.741935483870968
BK0101,2019-11,9.656666666666666,1.3933333333333333,56.5,21.773333333333333
BK0101,2019-12,5.916129032258064,-0.7354838709677419,177.0,22.770967741935483
BK0101,2020-01,6.77741935483871,-1.038709677419355,56.8,23.103225806451615
BK0101,2020-02,7.575862068965517,-0.5586206896551724,90.3,21.848275862068967
BK0101,2020-03,12.058064516129033,2.8774193548387097,106.3,22.980645161290322
BK0101,2020-04,13.163333333333332,4.676666666666667,139.9,27.363333333333333
BK0101,2020-05,19.03548387096774,9.62258064516129,63.2,23.322580645161292
BK0101,2020-06,27.266666666666666,17.71333333333333,70.1,21.58
BK0101,2020-07,30.870967741935484,22.31935483870968,106.7,19.95483870967742
BK0101,2020-08,28.503225806451614,20.874193548387098,122.2,20.858064516129033
BK0101,2020-09,24.05,15.933333333333334,94.6,20.446666666666665
BK0101,2020-10,17.90967741935484,10.858064516129033,126.80000000000001,20.32903225806452
BK0101,2020-11,14.403333333333334,5.4766666666666675,113.1,22.723333333333336
BK0101,2020-12,6.361290322580645,-1.1483870967741936,131.3,24.316129032258065
BK0101,2021-01,4.238709677419355,-2.835483870967742,53.4,23.241935483870968
BK0101,2021-02,2.6714285714285713,-4.732142857142857,136.79999999999998,22.514285714285712
BK0101,2021-03,10.916129032258064,0.5645161290322581,95.9,25.090322580645164
BK0101,2021-04,15.793333333333333,5.226666666666666,95.3,22.853333333333335
BK0101,2021-05,20.96451612903226,10.819354838709677,110.9,22.141935483870967
BK0101,2021-06,26.953333333333333,17.676666666666666,53.3,20.37
BK0101,2021-07,28.070967741935487,20.570967741935487,201.3,18.4
BK0101,2021-08,28.48709677419355,21.1,146.29999999999998,18.993548387096773
