month_date,avg_visits
2022-03-01,1582.0
2022-04-01,1442.5714285714287
2022-05-01,1942.2857142857142
2022-06-01,1394.0
2022-07-01,1213.7142857142858
2022-08-01,1247.4285714285713
2022-09-01,1729.142857142857
2022-10-01,1951.7142857142858
2023-03-01,1639.142857142857
2023-04-01,1776.5714285714287
2023-05-01,1703.7142857142858
2023-06-01,1527.4285714285713
2023-07-01,1268.5714285714287
2023-08-01,1258.2857142857142
2023-09-01,1585.4285714285713
2023-10-01,1816.5714285714287
2024-03-01,1503.4285714285713
2024-04-01,1537.4285714285713
2024-05-01,1843.7142857142858
2024-06-01,1351.142857142857
2024-07-01,1302.2857142857142
2024-08-01,1314.857142857143
2024-09-01,1705.4285714285713
2024-10-01,1834.857142857143
2025-03-01,1514.0
2025-04-01,1654.2857142857142
2025-05-01,1816.0
2025-06-01,1338.857142857143
2025-07-01,1214.5714285714287
2025-08-01,1250.5714285714287
2025-09-01,1635.4285714285713
2025-10-01,1611.4285714285713
