nta_code,NTAName,borough,year_month,ed_visits,temp_max_mean,temp_min_mean,precip_total,wind_max_mean,pollen_composite_avg,pollen_composite_max,tree_avg,tree_max,weed_avg,grass_avg,mold_avg,pollen_14d_lag_avg,pollen_28d_lag_avg,pm25_mean,ozone_mean,no2_mean,tree_count,total_dbh,mean_dbh,pct_good_health,chs_asthma_pct
BK0101,Greenpoint,Brooklyn,2022-03,34.88276916864954,10.893548387096772,1.1193548387096772,89.8,25.306451612903224,29.553225806451614,207.2,73.74193548387096,518.0,0.1612903225806451,0.064516129032258,0.0,30.514285714285716,32.50535714285714,10.035888338742394,29.4114596774193,15.174496903225808,3292,30327,9.212332928311056,0.8107533414337789,4.939473684210526
BK0101,Greenpoint,Brooklyn,2022-04,32.71587364172977,14.736666666666668,5.33,143.3,26.996666666666663,35.904545454545456,206.2,88.68181818181819,513.0,1.0454545454545454,0.6818181818181818,0.0,51.785714285714285,29.639285714285716,6.6303993424369745,33.695825,11.47051876,3292,30327,9.212332928311056,0.8107533414337789,4.939473684210526
BK0101,Greenpoint,Brooklyn,2022-05,45.78097902462835,21.616129032258065,12.13225806451613,117.1,20.88064516129032,152.15227272727273,669.3000000000001,372.0,1642.0,3.3181818181818183,10.090909090909092,0.0,128.07857142857145,132.1392857142857,7.475124238596492,33.7456330645161,10.37074786451613,3292,30327,9.212332928311056,0.8107533414337789,4.939473684210526
BK0101,Greenpoint,Brooklyn,2022-06,32.03606328034318,26.716666666666665,16.946666666666665,88.3,23.733333333333334,15.748333333333337,82.85000000000001,29.933333333333337,199.0,4.933333333333334,10.166666666666666,0.0,4.5928571428571425,16.314285714285717,7.417623845601437,36.90914406779659,10.37434827027027,3292,30327,9.212332928311056,0.8107533414337789,4.939473684210526
BK0101,Greenpoint,Brooklyn,2022-07,29.253089613416815,31.338709677419356,21.48709677419355,78.0,23.76451612903226,2.15,6.4,1.8333333333333333,11.0,3.533333333333333,2.1333333333333333,0.0,2.2142857142857144,1.989285714285714,8.638271521891419,38.8679879032258,9.613288438709676,3292,30327,9.212332928311056,0.8107533414337789,4.939473684210526
BK0101,Greenpoint,Brooklyn,2022-08,27.787248521676975,30.583870967741937,21.387096774193548,56.3,21.432258064516127,0.932258064516129,4.8,0.1935483870967742,2.0,3.096774193548387,0.3225806451612903,0.0,1.9214285714285713,1.0142857142857142,7.971825670103093,36.0480201612903,9.949496206451611,3292,30327,9.212332928311056,0.8107533414337789,4.939473684210526
BK0101,Greenpoint,Brooklyn,2022-09,38.81292282041578,24.74,16.053333333333335,84.8,19.603333333333335,13.198000000000002,59.35,15.12,99.0,15.24,13.36,0.0,16.985714285714288,12.135714285714286,7.642355080617495,30.9857740585774,10.276607526666666,3292,30327,9.212332928311056,0.8107533414337789,4.939473684210526
BK0101,Greenpoint,Brooklyn,2022-10,43.89025645702189,17.225806451612904,9.36774193548387,289.8,20.893548387096775,1.3564516129032258,4.800000000000001,1.3548387096774193,9.0,2.6129032258064515,0.6451612903225806,0.0,0.7964285714285714,1.2696428571428573,9.33646931270903,24.155845833333306,15.523316858064517,3292,30327,9.212332928311056,0.8107533414337789,4.939473684210526
BK0101,Greenpoint,Brooklyn,2022-11,36.242389891422725,13.146666666666668,5.42,79.8,24.283333333333335,,,,,,,,,,11.42356831462585,19.2751833333333,17.537993255474454,3292,30327,9.212332928311056,0.8107533414337789,4.939473684210526
BK0101,Greenpoint,Brooklyn,2022-12,28.23337407133693,6.27741935483871,-1.6161290322580646,109.6,22.51935483870968,,,,,,,,,,10.67678687123746,15.2241451612903,17.061582393548388,3292,30327,9.212332928311056,0.8107533414337789,4.939473684210526
