nta_code,tree_count,total_dbh,mean_dbh,pct_good_health
BK0101,3292,30327,9.212332928311056,0.8107533414337789
BK0102,3271,27511,8.410577804952615,0.8712931825129929
BK0103,2069,22688,10.965683905268245,0.8806186563557274
BK0104,2910,26051,8.952233676975945,0.8109965635738832
BK0201,1697,20311,11.968768414849734,0.7743076016499706
BK0202,2297,22380,9.743143230300392,0.6926425772747061
BK0203,2025,24406,12.052345679012346,0.8004938271604938
BK0204,2096,25169,12.008110687022901,0.870706106870229
BK0301,4035,40321,9.99281288723668,0.7990086741016109
BK0302,5054,56265,11.132766125840918,0.8401266323703996
BK0401,3257,23089,7.089038992938287,0.7037150752225975
BK0402,3544,37420,10.558690744920993,0.809255079006772
BK0501,2917,30863,10.580390812478575,0.8645869043537882
BK0502,3859,30288,7.848665457372376,0.7924332728686189
BK0503,5043,46601,9.240729724370414,0.7523299623240135
BK0504,1270,12353,9.726771653543308,0.8377952755905512
BK0505,2995,22559,7.532220367278798,0.7953255425709516
BK0601,5346,53622,10.030303030303031,0.778526000748223
BK0602,4589,57389,12.505774678579211,0.8034430159076051
BK0701,2246,28518,12.697239536954585,0.8410507569011576
BK0702,3210,26889,8.376635514018691,0.8252336448598131
BK0703,2139,24325,11.372136512388966,0.8705002337540907
BK0801,1488,16047,10.784274193548388,0.7768817204301075
BK0802,3957,44640,11.281273692191053,0.790245135203437
BK0901,2600,32387,12.456538461538461,0.8
BK0902,2217,29600,13.351375732972485,0.8958051420838972
BK1001,6766,99203,14.661986402601242,0.8657995861661247
BK1002,3042,43503,14.300788954635108,0.8431952662721893
BK1101,4564,64828,14.204206836108677,0.8639351446099912
BK1102,1671,22149,13.254937163375224,0.879114302812687
BK1103,2771,38126,13.758931793576327,0.8459040057740888
BK1201,1303,15359,11.787413660782809,0.8564850345356869
BK1202,4461,57397,12.86639766868415,0.867518493611298
BK1203,2364,30070,12.719966159052454,0.7939932318104906
BK1204,3910,52041,13.309718670076727,0.7961636828644502
BK1301,1384,21154,15.284682080924856,0.7601156069364162
BK1302,1816,13997,7.707599118942731,0.664647577092511
BK1303,757,7689,10.157199471598414,0.6737120211360634
BK1401,2228,27320,12.262118491921006,0.8043087971274686
BK1402,3595,53816,14.969680111265646,0.8255910987482614
BK1403,4075,57263,14.052269938650307,0.7911656441717791
BK1501,4365,60648,13.894158075601375,0.7780068728522337
BK1502,3362,50113,14.905710886377156,0.819155264723379
BK1503,4891,70220,14.356982212226539,0.6959721938253935
BK1601,2262,20458,9.04420866489832,0.8740053050397878
BK1602,2804,33371,11.901212553495007,0.8691155492154066
BK1701,1724,17410,10.09860788863109,0.8509280742459396
BK1702,1857,28995,15.61389337641357,0.8831448572967151
BK1703,2688,37621,13.995907738095237,0.9006696428571429
BK1704,1778,26577,14.947694038245219,0.8582677165354331
BK1801,5308,85413,16.0913715146948,0.8394875659382065
BK1802,6904,105625,15.299101969872538,0.8613847045191193
BK1803,5466,82943,15.174350530552507,0.7628979143798024
BX0101,2377,18354,7.721497686159024,0.7496844762305427
BX0102,1997,15903,7.963445167751628,0.784677015523285
BX0201,2641,16555,6.268458917076865,0.8076486179477471
BX0202,2128,18547,8.715695488721805,0.856203007518797
BX0301,1653,13962,8.446460980036298,0.8197217180883243
BX0302,862,7298,8.466357308584687,0.8294663573085846
BX0303,1711,13244,7.740502630040912,0.8673290473407365
BX0401,2961,23107,7.803782505910165,0.7703478554542385
BX0402,1318,10976,8.327769347496206,0.7655538694992413
BX0403,1678,13358,7.960667461263409,0.7425506555423123
BX0501,1945,14991,7.707455012853471,0.7434447300771209
BX0502,1633,11765,7.204531537048378,0.7936313533374157
BX0503,1103,6712,6.085222121486854,0.7688123300090662
BX0601,956,7741,8.097280334728033,0.8378661087866108
BX0602,1799,13155,7.312395775430795,0.631461923290717
BX0603,1784,14519,8.138452914798206,0.7763452914798207
BX0701,1477,12558,8.502369668246445,0.7853757616790792
BX0702,2092,23787,11.370458891013385,0.8293499043977055
BX0703,1709,16139,9.443534230544177,0.8191925102399064
