nta_code,NTAName,borough,year_month,date,borough_count,n_ntas,estimated_count
BK0102,Williamsburg,Brooklyn,2024-02,2024-02-01,1461.0,53,32.07354518676578
BK0102,Williamsburg,Brooklyn,2024-03,2024-03-01,1538.0,53,33.76393736977808
BK0102,Williamsburg,Brooklyn,2024-04,2024-04-01,1636.0,53,35.915345602702814
BK0102,Williamsburg,Brooklyn,2024-05,2024-05-01,1928.0,53,42.32566401100919
BK0102,Williamsburg,Brooklyn,2024-06,2024-06-01,1406.0,53,30.866122198899856
BK0102,Williamsburg,Brooklyn,2024-07,2024-07-01,1334.0,53,29.285495742057186
BK0102,Williamsburg,Brooklyn,2024-08,2024-08-01,1423.0,53,31.239325667876596
BK0102,Williamsburg,Brooklyn,2024-09,2024-09-01,1775.0,53,38.96683279021852
BK0102,Williamsburg,Brooklyn,2024-10,2024-10-01,1834.0,53,40.26206835902015
BK0102,Williamsburg,Brooklyn,2024-11,2024-11-01,1657.0,53,36.37636165261526
BK0102,Williamsburg,Brooklyn,2024-12,2024-12-01,1715.0,53,37.649644076182966
BK0102,Williamsburg,Brooklyn,2025-01,2025-01-01,1489.0,53,32.68823325331571
BK0102,Williamsburg,Brooklyn,2025-02,2025-02-01,1240.0,53,27.22190009006815
BK0102,Williamsburg,Brooklyn,2025-03,2025-03-01,1558.0,53,34.20300027445659
BK0102,Williamsburg,Brooklyn,2025-04,2025-04-01,1784.0,53,39.16441109732386
BK0102,Williamsburg,Brooklyn,2025-05,2025-05-01,1973.0,53,43.31355554653585
BK0102,Williamsburg,Brooklyn,2025-06,2025-06-01,1433.0,53,31.458857120215853
BK0102,Williamsburg,Brooklyn,2025-07,2025-07-01,1376.0,53,30.207527841882076
BK0102,Williamsburg,Brooklyn,2025-08,2025-08-01,1437.0,53,31.546669701151558
BK0102,Williamsburg,Brooklyn,2025-09,2025-09-01,1716.0,53,37.67159722141689
BK0102,Williamsburg,Brooklyn,2025-10,2025-10-01,1699.0,53,37.29839375244015
BK0102,Williamsburg,Brooklyn,2025-11,2025-11-01,50.0,53,1.0976572616962963
BK0103,South Williamsburg,Brooklyn,2022-03,2022-03-01,1642.0,53,35.779865120924306
BK0103,South Williamsburg,Brooklyn,2022-04,2022-04-01,1540.0,53,33.557242561646426
BK0103,South Williamsburg,Brooklyn,2022-05,2022-05-01,2155.0,53,46.95834916905718
BK0103,South Williamsburg,Brooklyn,2022-06,2022-06-01,1508.0,53,32.85994920971611
BK0103,South Williamsburg,Brooklyn,2022-07,2022-07-01,1377.0,53,30.005404550251384
BK0103,South Williamsburg,Brooklyn,2022-08,2022-08-01,1308.0,53,28.50186576015164
