year_month,pollen_composite_avg,pollen_composite_max,tree_avg,tree_max,weed_avg,grass_avg,mold_avg,pollen_14d_lag_avg,pollen_28d_lag_avg
2022-03,29.553225806451614,207.20000000000002,73.74193548387096,518.0,0.16129032258064516,0.06451612903225806,0.0,30.514285714285716,32.50535714285714
2022-04,35.904545454545456,206.20000000000002,88.68181818181819,513.0,1.0454545454545454,0.6818181818181818,0.0,51.785714285714285,29.639285714285716
2022-05,152.15227272727273,669.3000000000001,372.0,1642.0,3.3181818181818183,10.090909090909092,0.0,128.07857142857145,132.1392857142857
2022-06,15.748333333333335,82.85000000000001,29.933333333333334,199.0,4.933333333333334,10.166666666666666,0.0,4.5928571428571425,16.314285714285717
2022-07,2.15,6.4,1.8333333333333333,11.0,3.533333333333333,2.1333333333333333,0.0,2.2142857142857144,1.989285714285714
2022-08,0.932258064516129,4.8,0.1935483870967742,2.0,3.096774193548387,0.3225806451612903,0.0,1.9214285714285713,1.0142857142857142
2022-09,13.198000000000002,59.35,15.12,99.0,15.24,13.36,0.0,16.985714285714288,12.135714285714286
2022-10,1.3564516129032258,4.800000000000001,1.3548387096774193,9.0,2.6129032258064515,0.6451612903225806,0.0,0.7964285714285714,1.2696428571428573
2023-03,21.113333333333337,87.80000000000001,52.36666666666667,217.0,0.5333333333333333,0.13333333333333333,0.0,32.88571428571429,22.185714285714287
2023-04,144.19333333333333,776.4000000000001,359.4,1941.0,1.1333333333333333,0.6,0.0,148.76785714285714,148.76964285714286
2023-05,49.95357142857143,190.5,121.71428571428571,475.0,2.4642857142857144,2.607142857142857,0.0,27.310714285714287,49.95357142857143
2023-06,13.858333333333336,80.55000000000001,30.5,197.0,2.9,3.7333333333333334,0.0,2.732142857142857,13.673214285714286
2023-07,3.7129032258064516,11.9,2.870967741935484,16.0,8.612903225806452,1.6451612903225807,0.0,4.410714285714286,3.8017857142857143
2023-08,4.008064516129032,14.5,0.8064516129032258,4.0,12.451612903225806,2.2903225806451615,0.0,3.932142857142857,3.9589285714285714
2023-09,4.889655172413794,17.25,3.1724137931034484,15.0,7.344827586206897,7.137931034482759,0.0,4.157142857142857,5.028571428571429
2023-10,0.8016129032258064,4.6,0.9354838709677419,9.0,1.4516129032258065,0.25806451612903225,0.0,0.4428571428571429,0.55
2024-03,13.913333333333334,71.2,34.7,178.0,0.13333333333333333,0.0,0.0,7.614285714285715,14.492857142857144
2024-04,57.3948275862069,211.65,141.82758620689654,526.0,1.206896551724138,1.4482758620689655,0.0,98.42500000000003,59.13035714285714
2024-05,81.12931034482759,356.8,191.89655172413794,857.0,6.379310344827586,11.10344827586207,0.0,69.79285714285713,79.93035714285713
2024-06,8.576666666666666,54.35,14.233333333333333,110.0,5.933333333333334,5.6,0.0,3.810714285714286,6.673214285714286
2024-07,1.7033333333333334,6.85,1.4666666666666666,6.0,3.1,1.3666666666666667,0.0,1.957142857142857,1.7428571428571427
2024-08,3.796774193548387,13.350000000000001,2.6774193548387095,24.0,9.35483870967742,1.5483870967741935,0.0,4.614285714285715,3.8125
2024-09,16.891666666666666,96.45,24.5,223.0,14.3,14.066666666666666,0.0,4.485714285714286,17.246428571428574
2024-10,1.3774193548387097,4.800000000000001,1.064516129032258,7.0,2.161290322580645,1.6451612903225807,0.0,0.47142857142857125,1.3964285714285716
2025-03,52.93076923076923,220.8,132.23076923076923,552.0,0.15384615384615385,0.0,0.0,38.721428571428575,49.16785714285715
2025-04,216.75,1181.4,540.1666666666666,2946.0,1.9333333333333333,0.8,0.0,437.60714285714295,231.1178571428572
2025-05,73.5741935483871,393.85,180.2258064516129,974.0,2.935483870967742,3.0,0.0,15.396428571428572,56.89464285714286
2025-06,8.305,40.65,15.533333333333333,91.0,3.8666666666666667,4.5,0.0,4.8392857142857135,6.835714285714286
2025-07,4.01,20.5,1.0666666666666667,4.0,13.566666666666666,0.7666666666666667,0.0,7.157142857142857,4.178571428571429
2025-08,5.964516129032258,30.5,6.161290322580645,75.0,12.903225806451612,1.096774193548387,0.0,4.717857142857142,5.6642857142857155
2025-09,5.0566666666666675,20.400000000000002,7.1,46.0,5.133333333333334,3.7333333333333334,0.0,1.4071428571428566,5.264285714285714
2025-10,0.8516129032258064,3.25,0.5161290322580645,4.0,1.7741935483870968,0.8064516129032258,0.0,0.9071428571428566,0.8714285714285713
