month,88101_mean,year,42602_mean,44201_mean
2022-01,13.158328461267606,2022,17.923442653333336,0.016821924324324323
2022-02,12.347271703065134,2022,18.48358252857143,0.02282581325301205
2022-03,10.035888338742394,2022,15.174496903225807,0.029411459677419354
2022-04,6.6303993424369745,2022,11.47051876,0.033695825
2022-05,7.475124238596492,2022,10.37074786451613,0.033745633064516126
2022-06,7.417623845601437,2022,10.37434827027027,0.03690914406779661
2022-07,8.638271521891419,2022,9.613288438709677,0.038867987903225806
2022-08,7.971825670103093,2022,9.949496206451613,0.03604802016129032
2022-09,7.642355080617495,2022,10.276607526666666,0.030985774058577404
2022-10,9.33646931270903,2022,15.523316858064517,0.024155845833333335
2022-11,11.42356831462585,2022,17.537993255474454,0.019275183333333334
2022-12,10.676786871237459,2022,17.061582393548388,0.015224145161290323
2023-01,9.044526748776509,2023,16.346649232258063,0.017078708108108107
2023-02,10.006399461121157,2023,17.808679692857144,0.022477988505747126
2023-03,7.603838606060606,2023,14.033417606451613,0.030769321888412016
2023-04,8.135045952782463,2023,11.511954900000001,0.03633275
2023-05,7.792430935855263,2023,10.36045886451613,0.034120336492891
2023-06,18.44732386846543,2023,10.034753904761905,0.03600436138613861
2023-07,12.095272751515152,2023,9.89427329032258,0.04074135365853659
2023-08,9.037487133663367,2023,8.686626851612903,0.03410125352112676
2023-09,8.745877511864407,2023,9.861550193103449,0.029169529126213595
2023-10,8.784224176666667,2023,15.298358703225805,0.021238819444444442
2023-11,10.403569805555556,2023,18.226845106666666,0.019036125
2023-12,12.269226962093864,2023,18.81103130496454,0.013897638554216869
2024-01,8.559349814756672,2024,16.036311896774194,0.01636251948051948
2024-02,8.404944463768116,2024,15.683295577464788,0.021531307189542485
2024-03,6.406619092920354,2024,12.340660470967741,0.028662382488479264
2024-04,7.394276532307693,2024,11.928806153333333,0.0337114380952381
2024-05,6.904058720895522,2024,10.518809787096773,0.03262802764976959
2024-06,8.302213933846152,2024,9.553598386861314,0.039113685714285716
2024-07,9.912333741784037,2024,9.566333729032257,0.03762977880184332
2024-08,9.934028795522389,2024,9.002329374193549,0.03423447004608295
2024-09,7.184207025078369,2024,9.875763306666666,0.030308417475728155
2024-10,8.788194254185694,2024,14.57004610967742,0.025889094786729856
2024-11,8.768933924148607,2024,14.209808673913043,0.019697140000000002
2024-12,10.864441100609756,2024,17.459201999999998,0.016057748091603055
