nta_code,time,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max
BK0101,2022-04-06,12.7,6.9,17.7,36.7
BK0101,2022-04-07,11.9,6.2,43.8,41.9
BK0101,2022-04-08,17.0,7.3,16.5,24.7
BK0101,2022-04-09,14.0,5.8,4.6,24.7
BK0101,2022-04-10,10.1,3.8,0.0,33.1
BK0101,2022-04-11,12.4,1.8,0.0,20.7
BK0101,2022-04-12,21.0,7.4,1.5,21.2
BK0101,2022-04-13,17.9,7.3,0.0,19.0
BK0101,2022-04-14,27.2,14.6,1.3,25.8
BK0101,2022-04-15,19.0,6.7,0.2,28.5
BK0101,2022-04-16,19.3,7.7,4.8,28.6
BK0101,2022-04-17,10.4,4.2,0.5,32.6
BK0101,2022-04-18,10.4,1.3,6.8,31.0
BK0101,2022-04-19,11.4,4.9,28.5,45.0
BK0101,2022-04-20,14.1,3.5,0.0,25.9
BK0101,2022-04-21,12.7,4.6,0.3,34.2
BK0101,2022-04-22,18.5,8.1,0.0,23.6
BK0101,2022-04-23,14.7,5.8,0.0,14.1
BK0101,2022-04-24,15.7,7.3,0.0,25.0
BK0101,2022-04-25,14.7,6.1,0.0,22.2
BK0101,2022-04-26,16.3,9.9,2.9,14.8
BK0101,2022-04-27,13.6,4.9,0.9,32.2
BK0101,2022-04-28,12.8,3.2,0.0,34.9
BK0101,2022-04-29,15.7,2.8,0.0,28.7
BK0101,2022-04-30,18.2,3.8,0.0,19.8
BK0101,2022-05-01,18.8,5.2,0.6,17.9
BK0101,2022-05-02,14.9,10.1,2.9,19.0
BK0101,2022-05-03,18.3,7.5,0.0,20.8
BK0101,2022-05-04,20.5,9.4,3.2,18.0
BK0101,2022-05-05,22.1,11.4,0.0,15.8
BK0101,2022-05-06,14.6,9.8,21.4,15.5
BK0101,2022-05-07,11.0,7.2,27.3,34.9
BK0101,2022-05-08,12.6,6.8,1.4,30.8
BK0101,2022-05-09,18.4,5.5,0.0,25.1
BK0101,2022-05-10,20.0,7.8,0.0,26.8
BK0101,2022-05-11,21.2,8.7,0.0,25.6
BK0101,2022-05-12,21.5,11.4,0.1,15.5
BK0101,2022-05-13,22.0,14.1,1.0,14.7
BK0101,2022-05-14,21.5,14.4,8.7,16.5
BK0101,2022-05-15,24.2,14.0,2.8,21.0
BK0101,2022-05-16,22.5,15.1,5.0,22.2
BK0101,2022-05-17,23.6,11.9,0.1,33.9
BK0101,2022-05-18,21.5,11.1,0.0,18.3
BK0101,2022-05-19,21.2,12.5,14.1,13.7
BK0101,2022-05-20,21.9,11.1,6.8,20.5
BK0101,2022-05-21,31.9,16.3,0.0,17.1
BK0101,2022-05-22,30.0,20.7,0.0,17.9
BK0101,2022-05-23,22.6,15.9,0.0,20.9
BK0101,2022-05-24,19.5,13.2,0.0,18.9
BK0101,2022-05-25,19.5,10.9,0.0,19.3
BK0101,2022-05-26,19.9,10.9,0.0,24.9
BK0101,2022-05-27,23.0,16.1,11.3,23.1
BK0101,2022-05-28,23.4,17.8,10.4,22.3
BK0101,2022-05-29,24.1,14.1,0.0,16.7
BK0101,2022-05-30,28.9,15.1,0.0,21.7
BK0101,2022-05-31,35.0,20.1,0.0,18.0
BK0101,2022-06-01,22.2,15.9,12.7,19.5
BK0101,2022-06-02,26.8,16.1,11.4,13.9
BK0101,2022-06-03,23.9,18.1,0.6,20.0
BK0101,2022-06-04,25.9,14.1,0.0,21.7
BK0101,2022-06-05,24.0,13.0,0.0,19.4
BK0101,2022-06-06,26.5,14.3,0.0,23.3
BK0101,2022-06-07,24.5,14.6,1.2,34.8
BK0101,2022-06-08,29.5,19.4,0.4,24.5
BK0101,2022-06-09,28.8,18.8,7.8,30.2
BK0101,2022-06-10,27.4,15.1,0.0,22.7
BK0101,2022-06-11,24.8,16.2,0.3,13.2
BK0101,2022-06-12,22.1,16.5,7.7,27.7
BK0101,2022-06-13,28.0,17.8,6.7,16.4
BK0101,2022-06-14,28.5,18.8,0.0,26.1
BK0101,2022-06-15,27.8,18.4,0.0,27.7
BK0101,2022-06-16,22.9,18.1,11.6,30.8
BK0101,2022-06-17,33.8,19.5,0.0,31.9
BK0101,2022-06-18,22.6,15.6,0.0,32.0
BK0101,2022-06-19,23.6,12.9,0.0,34.1
BK0101,2022-06-20,27.8,13.2,0.0,18.4
BK0101,2022-06-21,27.5,16.2,1.0,13.8
BK0101,2022-06-22,20.8,17.0,5.1,24.0
BK0101,2022-06-23,22.8,15.9,1.0,16.1
BK0101,2022-06-24,26.0,15.9,0.4,20.3
BK0101,2022-06-25,32.8,18.6,0.0,22.3
BK0101,2022-06-26,31.6,20.5,0.0,30.1
BK0101,2022-06-27,27.6,22.0,20.4,26.0
BK0101,2022-06-28,28.6,19.2,0.0,20.5
BK0101,2022-06-29,29.8,18.5,0.0,28.5
BK0101,2022-06-30,32.6,18.2,0.0,22.1
BK0101,2022-07-01,32.5,21.1,0.1,34.7
BK0101,2022-07-02,30.8,24.4,24.6,23.2
BK0101,2022-07-03,31.4,21.5,0.4,17.0
BK0101,2022-07-04,30.8,18.2,0.0,19.2
BK0101,2022-07-05,30.5,21.0,0.2,32.6
BK0101,2022-07-06,32.8,22.0,0.2,22.0
BK0101,2022-07-07,28.2,21.5,0.0,23.2
BK0101,2022-07-08,29.6,18.9,1.1,16.9
BK0101,2022-07-09,30.5,21.2,0.0,24.9
BK0101,2022-07-10,27.9,18.7,0.0,21.9
BK0101,2022-07-11,28.6,18.3,0.0,32.7
BK0101,2022-07-12,33.7,19.9,0.2,30.9
BK0101,2022-07-13,33.5,21.9,0.0,28.0
BK0101,2022-07-14,32.2,22.4,0.9,20.0
BK0101,2022-07-15,29.0,20.9,0.1,20.6
BK0101,2022-07-16,28.1,20.1,8.6,17.0
BK0101,2022-07-17,27.9,20.9,2.9,18.5
BK0101,2022-07-18,29.0,22.6,12.2,27.0
BK0101,2022-07-19,33.2,21.7,0.0,22.4
BK0101,2022-07-20,34.0,22.6,0.0,20.2
BK0101,2022-07-21,33.8,24.5,0.5,23.2
BK0101,2022-07-22,34.8,22.0,0.0,26.9
BK0101,2022-07-23,36.0,23.2,0.0,26.3
BK0101,2022-07-24,36.2,24.8,0.3,25.8
BK0101,2022-07-25,32.5,25.6,20.6,31.3
BK0101,2022-07-26,29.1,20.4,0.0,22.5
BK0101,2022-07-27,29.5,18.6,0.0,21.6
BK0101,2022-07-28,30.9,22.2,4.1,25.7
BK0101,2022-07-29,31.0,22.7,0.2,18.3
BK0101,2022-07-30,33.5,22.8,0.8,22.5
BK0101,2022-07-31,30.0,19.5,0.0,19.7
BK0101,2022-08-01,26.2,21.3,14.0,22.0
BK0101,2022-08-02,32.8,21.8,0.3,17.6
BK0101,2022-08-03,32.7,21.8,0.0,20.3
BK0101,2022-08-04,33.7,22.3,0.0,27.9
BK0101,2022-08-05,33.3,24.1,0.0,16.5
BK0101,2022-08-06,32.7,24.0,0.5,26.1
BK0101,2022-08-07,34.0,24.0,6.8,26.4
BK0101,2022-08-08,33.8,25.8,1.4,24.4
