month,42602_mean,year
2022-01,17.923442653333336,2022
2022-02,18.48358252857143,2022
2022-03,15.174496903225807,2022
2022-04,11.47051876,2022
2022-05,10.37074786451613,2022
2022-06,10.37434827027027,2022
2022-07,9.613288438709677,2022
2022-08,9.949496206451613,2022
2022-09,10.276607526666666,2022
2022-10,15.523316858064517,2022
2022-11,17.537993255474454,2022
2022-12,17.061582393548388,2022
2023-01,16.346649232258063,2023
2023-02,17.808679692857144,2023
2023-03,14.033417606451613,2023
2023-04,11.511954900000001,2023
2023-05,10.36045886451613,2023
2023-06,10.034753904761905,2023
2023-07,9.89427329032258,2023
2023-08,8.686626851612903,2023
2023-09,9.861550193103449,2023
2023-10,15.298358703225805,2023
2023-11,18.226845106666666,2023
2023-12,18.81103130496454,2023
2024-01,16.036311896774194,2024
2024-02,15.683295577464788,2024
2024-03,12.340660470967741,2024
2024-04,11.928806153333333,2024
2024-05,10.518809787096773,2024
2024-06,9.553598386861314,2024
2024-07,9.566333729032257,2024
2024-08,9.002329374193549,2024
2024-09,9.875763306666666,2024
2024-10,14.57004610967742,2024
2024-11,14.209808673913043,2024
2024-12,17.459201999999998,2024
