month,88101_mean,year
2022-01,13.158328461267606,2022
2022-02,12.347271703065134,2022
2022-03,10.035888338742394,2022
2022-04,6.6303993424369745,2022
2022-05,7.475124238596492,2022
2022-06,7.417623845601437,2022
2022-07,8.638271521891419,2022
2022-08,7.971825670103093,2022
2022-09,7.642355080617495,2022
2022-10,9.33646931270903,2022
2022-11,11.42356831462585,2022
2022-12,10.676786871237459,2022
2023-01,9.044526748776509,2023
2023-02,10.006399461121157,2023
2023-03,7.603838606060606,2023
2023-04,8.135045952782463,2023
2023-05,7.792430935855263,2023
2023-06,18.44732386846543,2023
2023-07,12.095272751515152,2023
2023-08,9.037487133663367,2023
2023-09,8.745877511864407,2023
2023-10,8.784224176666667,2023
2023-11,10.403569805555556,2023
2023-12,12.269226962093864,2023
2024-01,8.559349814756672,2024
2024-02,8.404944463768116,2024
2024-03,6.406619092920354,2024
2024-04,7.394276532307693,2024
2024-05,6.904058720895522,2024
2024-06,8.302213933846152,2024
2024-07,9.912333741784037,2024
2024-08,9.934028795522389,2024
2024-09,7.184207025078369,2024
2024-10,8.788194254185694,2024
2024-11,8.768933924148607,2024
2024-12,10.864441100609756,2024
