unique_key,created_date,closed_date,complaint_type,descriptor,incident_zip,latitude,longitude,borough,community_board,bbl
53496482,2022-03-01T18:13:00.000,2022-03-02T05:11:00.000,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",10036,40.75666417742652,-73.99019293432467,MANHATTAN,05 MANHATTAN,1010137501
53501539,2022-03-01T18:13:00.000,2022-03-02T05:11:00.000,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",10036,40.75666417742652,-73.99019293432467,MANHATTAN,05 MANHATTAN,1010137501
53500268,2022-03-01T18:16:00.000,2022-03-04T22:00:00.000,Air Quality,"Air: Dust, Other (Use Comments) (AE5)",11691,40.6116682169952,-73.7470500625107,QUEENS,14 QUEENS,4155030002
53496563,2022-03-01T18:46:00.000,2022-03-02T05:11:00.000,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",11385,40.701779173320716,-73.89798875940684,QUEENS,05 QUEENS,4035170013
53501495,2022-03-01T19:57:00.000,2022-03-02T05:11:00.000,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",10032,40.83503064661529,-73.9464836543101,MANHATTAN,12 MANHATTAN,
53497838,2022-03-01T20:24:00.000,2022-03-02T05:11:00.000,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",11235,40.5762883062217,-73.95506404220545,BROOKLYN,13 BROOKLYN,3087220475
53499326,2022-03-01T21:20:00.000,2022-03-02T12:45:00.000,Air Quality,"Air: Smoke, Chimney or vent (AS1)",10023,40.78125878024343,-73.9818446301349,MANHATTAN,07 MANHATTAN,1011677503
53504006,2022-03-01T22:33:00.000,2022-03-02T05:11:00.000,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",10016,40.74576410565203,-73.98409544817345,MANHATTAN,05 MANHATTAN,1008610022
53504005,2022-03-01T22:46:00.000,2022-03-02T05:11:00.000,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",11222,40.737245240459316,-73.95577822329089,BROOKLYN,01 BROOKLYN,3024820026
53504912,2022-03-02T08:07:00.000,2022-03-02T08:14:00.000,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",11366,40.72195913199264,-73.80969682426189,QUEENS,08 QUEENS,4068290001
53509824,2022-03-02T08:07:00.000,2022-03-02T08:14:00.000,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",11366,40.72195913199264,-73.80969682426189,QUEENS,08 QUEENS,4068290001
53509580,2022-03-02T09:33:00.000,2022-03-02T17:45:00.000,Air Quality,"Air: Smoke, Chimney or vent (AS1)",10463,40.88713601118417,-73.90407679443132,BRONX,08 BRONX,2057770772
53508675,2022-03-02T09:39:00.000,2022-03-02T18:00:00.000,Air Quality,"Air: Dust, Construction/Demolition (AE4)",10451,40.81258478346759,-73.92722511667746,BRONX,01 BRONX,2023330033
53505918,2022-03-02T09:42:00.000,2022-03-08T08:45:00.000,Air Quality,"Air: Smoke, Chimney or vent (AS1)",10025,40.78883911479442,-73.96675831143389,MANHATTAN,07 MANHATTAN,1012050029
53505642,2022-03-02T09:52:00.000,2022-03-03T09:00:00.000,Air Quality,"Air: Dust, Construction/Demolition (AE4)",10454,40.80684024476404,-73.92749147905558,BRONX,01 BRONX,
53506305,2022-03-02T10:25:00.000,2022-03-02T14:59:00.000,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",10036,40.75666417742652,-73.99019293432467,MANHATTAN,05 MANHATTAN,1010137501
53508654,2022-03-02T10:28:00.000,2022-03-02T14:59:00.000,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",10036,40.75666417742652,-73.99019293432467,MANHATTAN,05 MANHATTAN,1010137501
53504846,2022-03-02T10:29:00.000,2022-03-02T14:59:00.000,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",10036,40.75666417742652,-73.99019293432467,MANHATTAN,05 MANHATTAN,1010137501
53510953,2022-03-02T10:32:00.000,2022-03-02T14:59:00.000,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",10036,40.75666417742652,-73.99019293432467,MANHATTAN,05 MANHATTAN,1010137501
53509832,2022-03-02T10:32:00.000,2022-03-02T14:59:00.000,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",10036,40.75666417742652,-73.99019293432467,MANHATTAN,05 MANHATTAN,1010137501
53513350,2022-03-02T10:41:00.000,2022-03-02T14:59:00.000,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",10036,40.75666417742652,-73.99019293432467,MANHATTAN,05 MANHATTAN,1010137501
53510959,2022-03-02T10:42:00.000,2022-03-02T14:59:00.000,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",10036,40.75666417742652,-73.99019293432467,MANHATTAN,05 MANHATTAN,1010137501
