fold,train_end,test_start,test_end,train_rows,test_rows,auc,accuracy,precision,recall,f1
1,2023-06,2023-07,2024-04,2232,1116,0.8617781059460436,0.7741935483870968,0.7049924357034796,0.8910133843212237,0.7871621621621622
2,2024-04,2024-05,2024-10,3348,1116,0.9239764391516039,0.8467741935483871,0.8714011516314779,0.8136200716845878,0.8415199258572753
3,2024-10,2025-03,2025-08,4464,1116,0.8556352683999567,0.7168458781362007,0.8410041841004184,0.4196242171189979,0.5598885793871866
4,2025-08,2025-09,2025-10,5580,372,0.8982423412131635,0.6747311827956989,0.9767441860465116,0.41379310344827586,0.5813148788927336
