mae,rmse,pearson_r,pearson_p,pct_ntas_within_15pct,fold,train_end,test_start,test_end,train_rows,test_rows
2.1923776683196694,3.524480093986704,0.9428575330705549,0.0,0.9139784946236559,1,2023-06,2023-07,2024-04,2232,1116
2.279917551916184,3.8940004000630077,0.9393324622829867,0.0,0.9139784946236559,2,2024-04,2024-05,2024-10,3348,1116
2.6605476554913543,3.1460842085643264,0.9698177327267349,7.139930578351915e-229,0.6666666666666666,3,2024-10,2025-03,2025-04,4464,372
