month,pm25_mean,no2_mean,ozone_mean
2025-01,8.222402597402597,,27.450819672131146
2025-02,7.083516483516483,,31.52892561983471
2025-03,6.300974025974027,,37.96774193548387
2025-04,6.134680134680135,,42.476190476190474
2025-05,6.147712418300654,,37.125
2025-06,10.40168918918919,,48.06993006993007
2025-07,9.664724919093851,,50.75524475524475
2025-08,8.612944983818771,,44.83448275862069
2025-09,6.885559566787004,,39.41085271317829
2025-10,4.556949152542373,,30.835714285714285
2025-11,5.610493827160494,,27.846153846153847
2025-12,8.026797385620915,,22.936936936936938
